what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1336895725531
java.vm.version,sysinfo,,,"20.7-b02",1336895725531
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1336895726751
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1336895726803
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1336895726812
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1336895726839
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1336895726882
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1336895734512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336895773798
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1336895773930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336895773967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336895774131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336895774296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336895774442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336895774963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336895805987
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336895807044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336895813567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336895813856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336895814088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336895816965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336895986387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336895990052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336895999900
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336896000753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336896005473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336896005671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336896006241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336896049390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336896050262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336896073968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336896076195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336896076738
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336896076873
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1336896076989
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1336896077086
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1336896077087
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1336896077088
