what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327104124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327109786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327118982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327126220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1339327126251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327132710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327143570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327149177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327163547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327168588
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339327171973
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1339327173673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1339327173923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327186239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327191020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327191914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327194228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327196328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327198767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327200771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327203106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327204881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327207213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1339327210551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327215005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327248479
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339327248493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327251738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327252683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327258407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327260409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327272888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327387847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327394644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327412949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327418151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327418993
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339327419633
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1339327420585
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1339327420631
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1339327420647
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1339327420678
